session_id,split_index,context_len,query_len,session_len,query_skip_rate,ndcg_model,ndcg_random,lift
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22689,3,44,52,96,0.9038,0.5658,0.0962,0.4697
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22689,4,65,31,96,0.9677,0.6047,0.0951,0.5096
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22689,5,86,10,96,0.9,1,0.2948,0.7052
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22690,1,3,24,27,0.7083,0.5531,0.2917,0.2615
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22690,2,7,20,27,0.7,0.5531,0.3,0.2531
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22690,3,12,15,27,0.7333,0.6901,0.3069,0.3832
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22690,4,17,10,27,0.7,0.8937,0.4151,0.4786
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22690,5,22,5,27,0.6,0.9027,0.7231,0.1796
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22693,1,5,132,137,0.9167,0.4891,0.0833,0.4058
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22693,2,34,103,137,0.8932,0.6861,0.1068,0.5793
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22693,3,64,73,137,0.9041,0.3861,0.0959,0.2902
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22693,4,93,44,137,0.9091,0.5877,0.1046,0.4831
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22693,5,123,14,137,0.9286,1,0.2106,0.7894
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22697,1,26,11,37,0.8182,0.1423,0.3287,-0.1864
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22697,2,27,10,37,0.8,0.1423,0.3616,-0.2192
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22697,3,29,8,37,0.875,0.3956,0.3686,0.0271
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22697,4,30,7,37,0.8571,0.4219,0.4212,0.0007
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22697,5,32,5,37,0.8,0.4846,0.5897,-0.1051
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22698,1,3,42,45,0.8571,0.2233,0.1429,0.0804
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22698,2,12,33,45,0.8485,0.2089,0.1515,0.0574
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22698,3,21,24,45,0.8333,0.2649,0.1918,0.0731
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22698,4,30,15,45,0.8,0.3816,0.2767,0.1049
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22698,5,40,5,45,0.8,0.9262,0.5897,0.3365
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22702,1,5,28,33,0.6786,0.5024,0.3214,0.181
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22702,2,10,23,33,0.6087,0.6054,0.3913,0.2141
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22702,3,16,17,33,0.6471,0.8658,0.3529,0.5129
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22702,4,22,11,33,0.7273,0.7402,0.3774,0.3629
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22702,5,28,5,33,0.6,0.8942,0.7231,0.1711
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22703,1,3,84,87,0.9048,0.7505,0.0952,0.6553
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22703,2,21,66,87,0.9394,0.5619,0.0698,0.4921
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22703,3,40,47,87,0.9149,0.7238,0.098,0.6258
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22703,4,59,28,87,0.8929,0.7654,0.1482,0.6171
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22703,5,78,9,87,0.7778,0.7134,0.4017,0.3117
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22705,1,3,11,14,0.5455,0.5872,0.4545,0.1327
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22705,2,4,10,14,0.5,0.5902,0.5,0.0902
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22705,3,5,9,14,0.4444,0.6645,0.5556,0.1089
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22705,4,6,8,14,0.375,0.6899,0.625,0.0649
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22705,5,8,6,14,0.1667,0.8085,0.8333,-0.0249
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22706,1,5,93,98,0.7204,0.9183,0.2796,0.6387
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22706,2,25,73,98,0.7945,0.5602,0.2055,0.3547
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22706,3,46,52,98,0.7308,0.8658,0.2692,0.5966
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22706,4,67,31,98,0.6774,0.8475,0.3226,0.5249
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22706,5,88,10,98,0.6,0.963,0.4604,0.5025
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22709,1,5,264,269,0.8636,0.8018,0.1364,0.6654
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22709,2,64,205,269,0.8634,0.6779,0.1366,0.5413
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22709,3,123,146,269,0.8973,0.3458,0.1027,0.243
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22709,4,182,87,269,0.8621,0.4082,0.1379,0.2703
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22709,5,242,27,269,0.8889,0.265,0.1537,0.1113
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22711,1,15,44,59,0.5455,0.6737,0.4545,0.2192
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22711,2,24,35,59,0.6571,0.6666,0.3429,0.3238
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22711,3,34,25,59,0.68,0.5649,0.32,0.2449
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22711,4,43,16,59,0.8125,0.2363,0.2594,-0.0231
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22711,5,53,6,59,0.8333,0.4584,0.4914,-0.033
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22713,1,9,32,41,0.8438,0.428,0.1562,0.2718
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22713,2,15,26,41,0.8077,0.4351,0.1923,0.2428
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22713,3,22,19,41,0.8947,0.2927,0.1903,0.1024
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22713,4,29,12,41,0.8333,0.3708,0.3013,0.0695
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22713,5,36,5,41,0.6,0.8503,0.7231,0.1272
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22714,1,3,64,67,0.8906,0.4548,0.1094,0.3454
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22714,2,17,50,67,0.92,0,0.0921,-0.0921
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22714,3,31,36,67,0.8889,0.2156,0.1279,0.0877
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22714,4,45,22,67,0.8182,0.3087,0.2093,0.0995
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22714,5,60,7,67,0.7143,0.866,0.5165,0.3494
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22717,1,3,14,17,0.3571,1,0.6429,0.3571
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22717,2,4,13,17,0.3077,1,0.6923,0.3077
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22717,3,5,12,17,0.3333,1,0.6667,0.3333
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22717,4,6,11,17,0.2727,1,0.7273,0.2727
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22717,5,8,9,17,0.1111,1,0.8889,0.1111
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22720,1,4,53,57,0.7925,0.4886,0.2075,0.281
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22720,2,15,42,57,0.7619,0.5165,0.2381,0.2784
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22720,3,27,30,57,0.7667,0.5263,0.2333,0.2929
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22720,4,39,18,57,0.6667,0.5899,0.3333,0.2566
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22720,5,51,6,57,0.5,0.5,0.6918,-0.1919
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22721,1,4,15,19,0.9333,0,0.1966,-0.1966
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22721,2,6,13,19,0.9231,0.327,0.2268,0.1002
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22721,3,9,10,19,0.9,0.4307,0.2948,0.1358
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22721,4,11,8,19,0.875,0.4307,0.3686,0.0621
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22721,5,14,5,19,0.8,0.4307,0.5897,-0.159
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22722,1,3,29,32,0.8966,0.6939,0.1431,0.5507
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22722,2,8,24,32,0.875,0.5518,0.173,0.3788
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22722,3,14,18,32,0.8889,0.7134,0.2009,0.5125
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22722,4,20,12,32,0.8333,0.6745,0.3013,0.3732
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22722,5,26,6,32,0.8333,1,0.4914,0.5086
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22723,1,3,48,51,0.5417,0.4567,0.4583,-0.0017
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22723,2,12,39,51,0.5128,0.4567,0.4872,-0.0305
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22723,3,22,29,51,0.5862,0.6116,0.4138,0.1978
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22723,4,32,19,51,0.7368,0.2513,0.2632,-0.0119
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22723,5,42,9,51,0.8889,0.8262,0.3276,0.4986
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22727,1,4,12,16,0.4167,0.8628,0.5833,0.2795
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22727,2,5,11,16,0.3636,0.9475,0.6364,0.3112
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22727,3,7,9,16,0.2222,1,0.7778,0.2222
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22727,4,9,7,16,0.1429,1,0.8571,0.1429
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22727,5,11,5,16,0.2,0.9912,0.9208,0.0704
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22728,1,3,50,53,0.72,0.3834,0.28,0.1034
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22728,2,14,39,53,0.6923,0.6347,0.3077,0.327
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22728,3,25,28,53,0.7143,0.2584,0.2857,-0.0273
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22728,4,36,17,53,0.5882,0.6463,0.4118,0.2345
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22728,5,47,6,53,0.5,0.7531,0.6918,0.0612
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22729,1,3,50,53,0.78,0.9475,0.22,0.7275
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22729,2,13,40,53,0.8,0.7227,0.2,0.5227
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22729,3,23,30,53,0.7333,0.8891,0.2667,0.6224
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22729,4,33,20,53,0.6,0.8569,0.4,0.4569
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22729,5,44,9,53,0.1111,1,0.8889,0.1111
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22730,1,14,10,24,0.9,0.1547,0.2948,-0.1401
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22730,2,15,9,24,0.8889,0.1547,0.3276,-0.1729
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22730,3,16,8,24,0.875,0.2321,0.3686,-0.1364
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22730,4,17,7,24,0.8571,0.4723,0.4212,0.0511
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22730,5,19,5,24,0.8,0.5123,0.5897,-0.0774
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22733,1,6,30,36,0.7667,0.5876,0.2333,0.3543
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22733,2,12,24,36,0.75,0.5817,0.25,0.3317
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22733,3,18,18,36,0.7222,0.6191,0.2778,0.3413
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22733,4,24,12,36,0.8333,0.8613,0.3013,0.56
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22733,5,30,6,36,0.8333,1,0.4914,0.5086
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22736,1,3,42,45,0.7857,0.097,0.2143,-0.1172
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22736,2,11,34,45,0.7647,0.6221,0.2353,0.3868
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22736,3,20,25,45,0.68,0.9738,0.32,0.6538
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22736,4,28,17,45,0.5882,0.9738,0.4118,0.562
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22736,5,37,8,45,0.125,1,0.875,0.125
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22739,1,3,20,23,0.6,0.9136,0.4,0.5136
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22739,2,6,17,23,0.6471,0.8628,0.3529,0.5099
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22739,3,10,13,23,0.7692,0.5922,0.3193,0.2729
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22739,4,14,9,23,0.7778,0.8596,0.4017,0.4579
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22739,5,18,5,23,0.6,1,0.7231,0.2769
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22742,1,8,46,54,0.8478,0.4148,0.1522,0.2626
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22742,2,12,42,54,0.881,0.6823,0.119,0.5632
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22742,3,16,38,54,0.8684,0.6395,0.1316,0.508
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22742,4,20,34,54,0.9118,0.7654,0.1221,0.6433
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22742,5,25,29,54,0.9655,0.7123,0.1017,0.6107
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22743,1,3,44,47,0.8636,0.5218,0.1364,0.3854
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22743,2,12,35,47,0.8286,0.5218,0.1714,0.3504
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22743,3,22,25,47,0.76,0.5531,0.24,0.3131
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22743,4,32,15,47,0.8,0,0.2767,-0.2767
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22743,5,42,5,47,0.6,0.7339,0.7231,0.0107
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22745,1,4,43,47,0.8837,0.3933,0.1163,0.277
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22745,2,13,34,47,0.8824,0.4965,0.1354,0.3611
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22745,3,23,24,47,0.8333,0.7912,0.1918,0.5993
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22745,4,32,15,47,0.8,0.7771,0.2767,0.5004
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22745,5,42,5,47,0.4,0.9634,0.8302,0.1332
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22746,1,3,42,45,0.6667,0.6551,0.3333,0.3217
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22746,2,12,33,45,0.6364,0.9475,0.3636,0.5839
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22746,3,21,24,45,0.5,1,0.5,0.5
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22746,4,30,15,45,0.3333,1,0.6667,0.3333
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22746,5,40,5,45,0.2,1,0.9208,0.0792
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22747,1,3,43,46,0.7209,1,0.2791,0.7209
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22747,2,12,34,46,0.7647,0.895,0.2353,0.6597
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22747,3,22,24,46,0.7917,0.8044,0.2083,0.5961
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22747,4,31,15,46,0.8667,0.8037,0.241,0.5627
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22747,5,41,5,46,0.8,0.8524,0.5897,0.2627
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22748,1,3,23,26,0.8696,0,0.1805,-0.1805
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22748,2,7,19,26,0.8947,0,0.1903,-0.1903
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22748,3,12,14,26,0.8571,0.0474,0.2583,-0.2108
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22748,4,16,10,26,0.8,0.0474,0.3616,-0.3141
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22748,5,21,5,26,0.8,0.4358,0.5897,-0.1539
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22750,1,3,27,30,0.6667,0.826,0.3333,0.4926
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22750,2,8,22,30,0.6364,0.8213,0.3636,0.4576
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22750,3,14,16,30,0.6875,0.6849,0.3125,0.3724
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22750,4,19,11,30,0.7273,0.9805,0.3774,0.6031
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22750,5,25,5,30,0.6,1,0.7231,0.2769
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22751,1,5,99,104,0.9293,0.4047,0.0707,0.334
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22751,2,26,78,104,0.9103,0.4725,0.0897,0.3828
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22751,3,48,56,104,0.8929,0.5619,0.1071,0.4548
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22751,4,70,34,104,0.9412,0,0.1063,-0.1063
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22751,5,92,12,104,0.9167,0,0.2457,-0.2457
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22753,1,4,12,16,0.3333,0.9738,0.6667,0.3071
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22753,2,5,11,16,0.3636,0.8398,0.6364,0.2035
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22753,3,7,9,16,0.3333,1,0.6667,0.3333
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22753,4,9,7,16,0.2857,0.8921,0.7143,0.1778
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22753,5,11,5,16,0.4,0.9552,0.8302,0.125
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22754,1,3,64,67,0.8906,0.2233,0.1094,0.1139
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22754,2,17,50,67,0.92,0.1678,0.0921,0.0757
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22754,3,31,36,67,0.9444,0.2918,0.1004,0.1913
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22754,4,45,22,67,0.9545,0.7524,0.134,0.6184
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22754,5,60,7,67,0.8571,0.9262,0.4212,0.505
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22768,1,7,15,22,0.8,0.7654,0.2767,0.4886
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22768,2,8,14,22,0.7857,0.7654,0.2965,0.4689
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22768,3,10,12,22,0.75,0.7654,0.3459,0.4194
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22768,4,11,11,22,0.7273,0.7654,0.3774,0.388
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22768,5,13,9,22,0.8889,1,0.3276,0.6724
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22769,1,3,14,17,0.2857,1,0.7143,0.2857
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22769,2,5,12,17,0.1667,1,0.8333,0.1667
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22769,3,7,10,17,0.2,1,0.8,0.2
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22769,4,9,8,17,0.25,0.8688,0.75,0.1188
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22769,5,12,5,17,0.4,0.8714,0.8302,0.0412
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22771,1,6,41,47,0.8537,0.3607,0.1463,0.2144
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22771,2,15,32,47,0.9375,0.747,0.113,0.634
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22771,3,24,23,47,0.9565,1,0.1282,0.8718
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22771,4,33,14,47,0.9286,1,0.2106,0.7894
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22771,5,42,5,47,0.8,0.8524,0.5897,0.2627
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22772,1,3,73,76,0.8767,0.5005,0.1233,0.3773
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22772,2,19,57,76,0.8772,0.5569,0.1228,0.4341
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22772,3,35,41,76,0.878,0.1351,0.122,0.0132
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22772,4,51,25,76,0.84,0.5228,0.1842,0.3387
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22772,5,68,8,76,0.5,0.9453,0.5755,0.3698
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22775,1,3,33,36,0.7879,0.428,0.2121,0.2159
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22775,2,10,26,36,0.8462,0.5555,0.1771,0.3784
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22775,3,17,19,36,0.7895,0.821,0.2423,0.5787
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22775,4,24,12,36,0.8333,1,0.3013,0.6987
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22775,5,31,5,36,0.6,1,0.7231,0.2769
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22777,1,3,48,51,0.75,0.8505,0.25,0.6005
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22777,2,13,38,51,0.8684,0.2584,0.1316,0.1268
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22777,3,24,27,51,0.8148,0.341,0.1852,0.1559
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22777,4,34,17,51,0.7647,0.5075,0.2708,0.2367
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22777,5,45,6,51,0.5,0.7654,0.6918,0.0735
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22778,1,3,33,36,0.697,0.9153,0.303,0.6123
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22778,2,10,26,36,0.6154,0.9738,0.3846,0.5891
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22778,3,17,19,36,0.6842,0.8599,0.3158,0.5441
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22778,4,24,12,36,0.9167,0.6309,0.2457,0.3852
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22778,5,31,5,36,0.8,0.6309,0.5897,0.0412
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22779,1,3,16,19,0.5625,0.4003,0.4375,-0.0372
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22779,2,5,14,19,0.5,0.4265,0.5,-0.0735
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22779,3,8,11,19,0.3636,0.4824,0.6364,-0.154
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22779,4,11,8,19,0.125,0.6859,0.875,-0.1891
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22779,5,14,5,19,0.2,0.9047,0.9208,-0.0161
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22781,1,3,22,25,0.7273,0.4179,0.2727,0.1452
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22781,2,7,18,25,0.8333,0,0.2306,-0.2306
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22781,3,11,14,25,0.7857,0.1812,0.2965,-0.1153
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22781,4,15,10,25,0.8,0.2036,0.3616,-0.1579
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22781,5,20,5,25,0.8,0.3956,0.5897,-0.1941
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22783,1,3,51,54,0.8627,0.4262,0.1373,0.289
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22783,2,14,40,54,0.825,0.7735,0.175,0.5985
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22783,3,25,29,54,0.7931,0.8242,0.2069,0.6173
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22783,4,36,18,54,0.7778,0.9419,0.2558,0.6861
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22783,5,48,6,54,0.8333,1,0.4914,0.5086
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22787,1,3,28,31,0.9286,0,0.1291,-0.1291
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22787,2,8,23,31,0.913,0,0.1572,-0.1572
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22787,3,14,17,31,0.9412,0,0.1734,-0.1734
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22787,4,20,11,31,0.9091,0,0.268,-0.268
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22787,5,26,5,31,0.8,0.3956,0.5897,-0.1941
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22790,1,3,23,26,0.8696,0,0.1805,-0.1805
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22790,2,7,19,26,0.8947,0,0.1903,-0.1903
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22790,3,12,14,26,0.9286,0,0.2106,-0.2106
22b3f07d-9bf0-4aaf-a19e-e3afaacd984a_22790,4,16,10,26,0.9,0.3956,0.2948,0.1008
