hidden_units,dropout_rate,num_layers,lr,val_ndcg,val_ndcg_raw,best_epoch,epochs_run,max_epochs,seed
128,0.3,1,0.001,0.7936747195506504,0.7929467621280518,18,20,20,0
128,0.1,1,0.001,0.7935338026585295,0.7928064701889923,20,20,20,0
128,0.1,2,0.001,0.792265237300791,0.7931740082486864,14,19,20,0
256,0.3,2,0.001,0.7920452442148859,0.7911080809398208,18,20,20,0
256,0.5,1,0.001,0.7917597186457689,0.7918723918527266,12,17,20,0
256,0.3,1,0.001,0.7916504449620142,0.7923545343170905,12,17,20,0
256,0.5,2,0.001,0.7912039892863852,0.7903163766462447,19,20,20,0
128,0.3,2,0.001,0.7906770921170861,0.7916270673568241,20,20,20,0
64,0.1,1,0.001,0.7904003756794968,0.7904854395264883,20,20,20,0
64,0.3,1,0.001,0.7900235614651758,0.791519958391412,19,20,20,0
256,0.1,1,0.001,0.7897548070684396,0.7910865076956834,12,17,20,0
256,0.3,3,0.001,0.789460622473028,0.7908184169250815,16,20,20,0
256,0.5,3,0.001,0.7891603897699198,0.7891081653374696,20,20,20,0
256,0.1,3,0.001,0.7891530805290597,0.786927178316482,12,17,20,0
256,0.1,2,0.001,0.7886787408866885,0.7897542267772057,14,19,20,0
128,0.1,3,0.001,0.7884497757321659,0.7910634465398907,6,11,20,0
128,0.5,2,0.001,0.7884294824169161,0.7902311752863903,20,20,20,0
128,0.5,3,0.001,0.7876941166818093,0.7884852811823722,14,19,20,0
128,0.5,1,0.001,0.7857669574115069,0.7880094170749014,2,7,20,0
128,0.3,3,0.001,0.7853428055403372,0.7888387632223162,6,11,20,0
64,0.1,2,0.001,0.7849527138186417,0.7862252665755773,6,11,20,0
64,0.5,2,0.001,0.7848088428442545,0.7906659200492525,4,9,20,0
64,0.1,3,0.001,0.7838870689063814,0.7845607708687939,6,11,20,0
64,0.3,2,0.001,0.7833886620168403,0.7875366524557311,4,9,20,0
128,0.5,1,0.0001,0.7829879857344356,0.7829879857344356,1,6,40,0
64,0.5,3,0.001,0.7827778209175856,0.7849473898585835,6,11,20,0
256,0.3,2,0.0001,0.7821481346809634,0.7841050318051134,4,9,40,0
128,0.5,2,0.0001,0.7819979552855761,0.7785723341833216,15,20,40,0
64,0.3,3,0.001,0.7818379504083662,0.7836213198275828,6,11,20,0
128,0.3,2,0.0001,0.7817395326087234,0.7832789905837985,14,19,40,0
128,0.1,2,0.0001,0.781435867719873,0.7825889699811323,14,19,40,0
128,0.3,1,0.0001,0.7810383077850708,0.7810383077850708,1,6,40,0
64,0.5,1,0.001,0.7810090567050326,0.7768786698766157,5,10,20,0
256,0.1,2,0.0001,0.7808915811455704,0.781273096964607,4,9,40,0
256,0.1,3,0.0001,0.7808572319943629,0.7858147892613537,4,9,40,0
256,0.5,2,0.0001,0.7807840392749821,0.7836269333346884,4,9,40,0
256,0.5,3,0.0001,0.7806039090502,0.7763689433837921,5,10,40,0
128,0.3,3,0.0001,0.7805056714492883,0.7826955065301573,13,18,40,0
64,0.1,2,0.0001,0.7804799239727394,0.7785130706165676,6,11,40,0
256,0.1,1,0.0001,0.780182384394665,0.7772329178443029,5,10,40,0
256,0.3,3,0.0001,0.7801760957481166,0.7862967117078782,4,9,40,0
256,0.3,1,0.0001,0.7800023058413782,0.7834453653352856,4,9,40,0
256,0.5,1,0.0001,0.7791497683225287,0.7823825469799368,4,9,40,0
128,0.1,1,0.0001,0.7787362500913761,0.7787362500913761,1,6,40,0
128,0.5,3,0.0001,0.7786570202395128,0.7769407159580826,19,24,40,0
128,0.1,3,0.0001,0.7786542416516014,0.7815173125272653,6,11,40,0
64,0.5,3,0.0001,0.7778306724836717,0.7741553690347032,15,20,40,0
64,0.3,2,0.0001,0.7778303065582598,0.7751905564271924,6,11,40,0
64,0.1,1,0.0001,0.7776300719645057,0.7757035463493538,6,11,40,0
64,0.5,2,0.0001,0.7768562795910748,0.775974202796723,19,24,40,0
64,0.3,1,0.0001,0.7765734025237897,0.7798824496158787,4,9,40,0
64,0.1,3,0.0001,0.7764477209621,0.7742827272480226,6,11,40,0
64,0.5,1,0.0001,0.7752837696687926,0.7784532062093453,4,9,40,0
64,0.3,3,0.0001,0.7741558288758714,0.7724100721055298,6,11,40,0
