UUID,Number of Sessions,Number of Songs,Skip Rate
36b5220b-538e-4297-bfdb-6fca16a2c6c8,1162,63730,44.81876667
aed44b2e-f5bd-4a9d-939d-0edee71be9b0,2419,81034,45.75486833
aed44b2e-f5bd-4a9d-939d-0edee71be9b0,2419,81034,45.75486832687513
aed44b2e-f5bd-4a9d-939d-0edee71be9b0,2419,81034,45.75486832687513
aed44b2e-f5bd-4a9d-939d-0edee71be9b0,2419,81034,45.75486832687513
aed44b2e-f5bd-4a9d-939d-0edee71be9b0,2419,81034,45.75486832687513
aed44b2e-f5bd-4a9d-939d-0edee71be9b0,2419,81034,45.75486832687513
aed44b2e-f5bd-4a9d-939d-0edee71be9b0,2419,81034,45.75486832687513
