Using device: cuda
Loaded best params: {'hidden_units': 64.0, 'dropout_rate': 0.1, 'num_blocks': 1.0, 'num_heads': 4.0, 'lr': 0.001, 'val_ndcg': 0.7824361576, 'val_ndcg_raw': 0.7826886652, 'best_epoch': 18.0, 'epochs_run': 20.0, 'max_epochs': 20.0}
Loading datasets...
Train sessions: 75875 | Val sessions: 16262

=== Run 1/5 (seed 0) ===

Epoch 11 | Loss: 0.5974 | NDCG: 0.7748 | smoothed: 0.7723 | AUC: 0.6188
Epoch 12 | Loss: 0.5956 | NDCG: 0.7735 | smoothed: 0.7731 | AUC: 0.6184
Epoch 13 | Loss: 0.5949 | NDCG: 0.7761 | smoothed: 0.7748 | AUC: 0.6198
Epoch 14 | Loss: 0.5948 | NDCG: 0.7749 | smoothed: 0.7749 | AUC: 0.6199
Epoch 15 | Loss: 0.5946 | NDCG: 0.7760 | smoothed: 0.7757 | AUC: 0.6206
Epoch 16 | Loss: 0.5935 | NDCG: 0.7806 | smoothed: 0.7772 | AUC: 0.6281
Epoch 17 | Loss: 0.5946 | NDCG: 0.7806 | smoothed: 0.7791 | AUC: 0.6284
Epoch 18 | Loss: 0.5915 | NDCG: 0.7782 | smoothed: 0.7798 | AUC: 0.6256
Epoch 19 | Loss: 0.5934 | NDCG: 0.7783 | smoothed: 0.7790 | AUC: 0.6236
Epoch 20 | Loss: 0.5927 | NDCG: 0.7789 | smoothed: 0.7784 | AUC: 0.6258
Epoch 21 | Loss: 0.5922 | NDCG: 0.7816 | smoothed: 0.7796 | AUC: 0.6281
Epoch 22 | Loss: 0.5920 | NDCG: 0.7804 | smoothed: 0.7803 | AUC: 0.6255
Epoch 23 | Loss: 0.5915 | NDCG: 0.7805 | smoothed: 0.7808 | AUC: 0.6269
Epoch 24 | Loss: 0.5917 | NDCG: 0.7835 | smoothed: 0.7814 | AUC: 0.6307
Epoch 25 | Loss: 0.5918 | NDCG: 0.7809 | smoothed: 0.7816 | AUC: 0.6262
Epoch 26 | Loss: 0.5911 | NDCG: 0.7784 | smoothed: 0.7809 | AUC: 0.6226
Epoch 27 | Loss: 0.5919 | NDCG: 0.7828 | smoothed: 0.7807 | AUC: 0.6302
Epoch 28 | Loss: 0.5904 | NDCG: 0.7819 | smoothed: 0.7810 | AUC: 0.6291
Epoch 29 | Loss: 0.5907 | NDCG: 0.7803 | smoothed: 0.7817 | AUC: 0.6254
Epoch 30 | Loss: 0.5910 | NDCG: 0.7833 | smoothed: 0.7818 | AUC: 0.6314
Epoch 31 | Loss: 0.5906 | NDCG: 0.7832 | smoothed: 0.7822 | AUC: 0.6307
Epoch 32 | Loss: 0.5902 | NDCG: 0.7822 | smoothed: 0.7829 | AUC: 0.6290
Epoch 33 | Loss: 0.5888 | NDCG: 0.7837 | smoothed: 0.7830 | AUC: 0.6316
Epoch 34 | Loss: 0.5888 | NDCG: 0.7838 | smoothed: 0.7832 | AUC: 0.6307
Epoch 35 | Loss: 0.5902 | NDCG: 0.7809 | smoothed: 0.7828 | AUC: 0.6274
Epoch 36 | Loss: 0.5888 | NDCG: 0.7786 | smoothed: 0.7811 | AUC: 0.6221
Epoch 37 | Loss: 0.5888 | NDCG: 0.7846 | smoothed: 0.7814 | AUC: 0.6323
Epoch 38 | Loss: 0.5887 | NDCG: 0.7844 | smoothed: 0.7825 | AUC: 0.6320
Epoch 39 | Loss: 0.5884 | NDCG: 0.7822 | smoothed: 0.7837 | AUC: 0.6293
Epoch 40 | Loss: 0.5889 | NDCG: 0.7827 | smoothed: 0.7831 | AUC: 0.6304
Epoch 41 | Loss: 0.5891 | NDCG: 0.7858 | smoothed: 0.7836 | AUC: 0.6348
Epoch 42 | Loss: 0.5880 | NDCG: 0.7834 | smoothed: 0.7840 | AUC: 0.6296
Epoch 43 | Loss: 0.5883 | NDCG: 0.7820 | smoothed: 0.7837 | AUC: 0.6270
Epoch 44 | Loss: 0.5892 | NDCG: 0.7849 | smoothed: 0.7834 | AUC: 0.6319
Epoch 45 | Loss: 0.5883 | NDCG: 0.7848 | smoothed: 0.7839 | AUC: 0.6302
Epoch 46 | Loss: 0.5875 | NDCG: 0.7855 | smoothed: 0.7851 | AUC: 0.6336
Epoch 47 | Loss: 0.5876 | NDCG: 0.7863 | smoothed: 0.7856 | AUC: 0.6343
Epoch 48 | Loss: 0.5880 | NDCG: 0.7891 | smoothed: 0.7870 | AUC: 0.6393
Epoch 49 | Loss: 0.5878 | NDCG: 0.7855 | smoothed: 0.7870 | AUC: 0.6314
Epoch 50 | Loss: 0.5871 | NDCG: 0.7872 | smoothed: 0.7873 | AUC: 0.6336
Epoch 51 | Loss: 0.5872 | NDCG: 0.7870 | smoothed: 0.7866 | AUC: 0.6342
Epoch 52 | Loss: 0.5872 | NDCG: 0.7860 | smoothed: 0.7868 | AUC: 0.6347
Epoch 53 | Loss: 0.5871 | NDCG: 0.7844 | smoothed: 0.7858 | AUC: 0.6317
Epoch 54 | Loss: 0.5867 | NDCG: 0.7871 | smoothed: 0.7858 | AUC: 0.6349
Epoch 55 | Loss: 0.5865 | NDCG: 0.7866 | smoothed: 0.7860 | AUC: 0.6352
Early stopping at epoch 55
Run 2: NDCG 0.7873 | AUC 0.6336 | best epoch 50 of 55

=== Run 3/5 (seed 2) ===

Epoch 1 | Loss: 0.6195 | NDCG: 0.7601 | smoothed: 0.7601 | AUC: 0.5967
Epoch 2 | Loss: 0.6079 | NDCG: 0.7680 | smoothed: 0.7641 | AUC: 0.6129
Epoch 3 | Loss: 0.6042 | NDCG: 0.7699 | smoothed: 0.7660 | AUC: 0.6135
Epoch 4 | Loss: 0.6038 | NDCG: 0.7728 | smoothed: 0.7702 | AUC: 0.6200
Epoch 5 | Loss: 0.6015 | NDCG: 0.7717 | smoothed: 0.7715 | AUC: 0.6168
Epoch 6 | Loss: 0.6016 | NDCG: 0.7728 | smoothed: 0.7724 | AUC: 0.6177
Epoch 7 | Loss: 0.6011 | NDCG: 0.7742 | smoothed: 0.7729 | AUC: 0.6195
Epoch 8 | Loss: 0.5998 | NDCG: 0.7766 | smoothed: 0.7745 | AUC: 0.6241
Epoch 9 | Loss: 0.6002 | NDCG: 0.7729 | smoothed: 0.7745 | AUC: 0.6169
Epoch 10 | Loss: 0.5982 | NDCG: 0.7796 | smoothed: 0.7763 | AUC: 0.6269
Epoch 11 | Loss: 0.5973 | NDCG: 0.7760 | smoothed: 0.7762 | AUC: 0.6246
Epoch 12 | Loss: 0.5973 | NDCG: 0.7790 | smoothed: 0.7782 | AUC: 0.6299
Epoch 13 | Loss: 0.5966 | NDCG: 0.7774 | smoothed: 0.7775 | AUC: 0.6232
Epoch 14 | Loss: 0.5970 | NDCG: 0.7796 | smoothed: 0.7787 | AUC: 0.6252
Epoch 15 | Loss: 0.5965 | NDCG: 0.7795 | smoothed: 0.7788 | AUC: 0.6250
Epoch 16 | Loss: 0.5960 | NDCG: 0.7814 | smoothed: 0.7802 | AUC: 0.6287
Epoch 17 | Loss: 0.5951 | NDCG: 0.7803 | smoothed: 0.7804 | AUC: 0.6271
Epoch 18 | Loss: 0.5951 | NDCG: 0.7782 | smoothed: 0.7800 | AUC: 0.6248
Epoch 19 | Loss: 0.5940 | NDCG: 0.7812 | smoothed: 0.7799 | AUC: 0.6293
Epoch 20 | Loss: 0.5925 | NDCG: 0.7838 | smoothed: 0.7811 | AUC: 0.6327
Epoch 21 | Loss: 0.5929 | NDCG: 0.7797 | smoothed: 0.7816 | AUC: 0.6289
Epoch 22 | Loss: 0.5927 | NDCG: 0.7823 | smoothed: 0.7819 | AUC: 0.6307
Epoch 23 | Loss: 0.5924 | NDCG: 0.7794 | smoothed: 0.7805 | AUC: 0.6262
Epoch 24 | Loss: 0.5922 | NDCG: 0.7848 | smoothed: 0.7822 | AUC: 0.6344
Epoch 25 | Loss: 0.5922 | NDCG: 0.7813 | smoothed: 0.7818 | AUC: 0.6308
Epoch 26 | Loss: 0.5931 | NDCG: 0.7821 | smoothed: 0.7828 | AUC: 0.6288
Epoch 27 | Loss: 0.5917 | NDCG: 0.7797 | smoothed: 0.7811 | AUC: 0.6284
Epoch 28 | Loss: 0.5914 | NDCG: 0.7817 | smoothed: 0.7812 | AUC: 0.6303
Epoch 29 | Loss: 0.5904 | NDCG: 0.7820 | smoothed: 0.7811 | AUC: 0.6300
Epoch 30 | Loss: 0.5916 | NDCG: 0.7830 | smoothed: 0.7822 | AUC: 0.6288
Epoch 31 | Loss: 0.5907 | NDCG: 0.7820 | smoothed: 0.7824 | AUC: 0.6286
Early stopping at epoch 31
Run 3: NDCG 0.7828 | AUC 0.6288 | best epoch 26 of 31

=== Run 4/5 (seed 3) ===

Epoch 1 | Loss: 0.6209 | NDCG: 0.7637 | smoothed: 0.7637 | AUC: 0.6036
Epoch 2 | Loss: 0.6088 | NDCG: 0.7640 | smoothed: 0.7638 | AUC: 0.6045
Epoch 3 | Loss: 0.6060 | NDCG: 0.7689 | smoothed: 0.7655 | AUC: 0.6119
Epoch 4 | Loss: 0.6041 | NDCG: 0.7695 | smoothed: 0.7675 | AUC: 0.6142
Epoch 5 | Loss: 0.6027 | NDCG: 0.7709 | smoothed: 0.7698 | AUC: 0.6183
Epoch 6 | Loss: 0.6020 | NDCG: 0.7747 | smoothed: 0.7717 | AUC: 0.6243
Epoch 7 | Loss: 0.6011 | NDCG: 0.7711 | smoothed: 0.7722 | AUC: 0.6160
Epoch 8 | Loss: 0.6005 | NDCG: 0.7747 | smoothed: 0.7735 | AUC: 0.6219
