Using device: cuda
Loaded best params: {'hidden_units': 256.0, 'dropout_rate': 0.1, 'num_blocks': 1.0, 'num_heads': 16.0, 'lr': 0.001, 'val_ndcg': 0.7833886533, 'val_ndcg_raw': 0.7827366125, 'best_epoch': 20.0, 'epochs_run': 20.0, 'max_epochs': 20.0}
Loading datasets...
Train sessions: 75875 | Val sessions: 16262

=== Run 1/5 (seed 0) ===

Epoch 11 | Loss: 0.5656 | NDCG: 0.7792 | smoothed: 0.7767 | AUC: 0.6251
Epoch 12 | Loss: 0.5653 | NDCG: 0.7738 | smoothed: 0.7766 | AUC: 0.6185
Epoch 13 | Loss: 0.5649 | NDCG: 0.7797 | smoothed: 0.7775 | AUC: 0.6256
Epoch 14 | Loss: 0.5638 | NDCG: 0.7767 | smoothed: 0.7767 | AUC: 0.6238
Epoch 15 | Loss: 0.5638 | NDCG: 0.7820 | smoothed: 0.7795 | AUC: 0.6301
Epoch 16 | Loss: 0.5637 | NDCG: 0.7797 | smoothed: 0.7794 | AUC: 0.6281
Epoch 17 | Loss: 0.5626 | NDCG: 0.7787 | smoothed: 0.7801 | AUC: 0.6258
Epoch 18 | Loss: 0.5613 | NDCG: 0.7815 | smoothed: 0.7799 | AUC: 0.6313
Epoch 19 | Loss: 0.5611 | NDCG: 0.7820 | smoothed: 0.7807 | AUC: 0.6322
Epoch 20 | Loss: 0.5597 | NDCG: 0.7798 | smoothed: 0.7811 | AUC: 0.6258
Epoch 21 | Loss: 0.5608 | NDCG: 0.7826 | smoothed: 0.7815 | AUC: 0.6312
Epoch 22 | Loss: 0.5603 | NDCG: 0.7824 | smoothed: 0.7816 | AUC: 0.6306
Epoch 23 | Loss: 0.5597 | NDCG: 0.7831 | smoothed: 0.7827 | AUC: 0.6329
Epoch 24 | Loss: 0.5591 | NDCG: 0.7821 | smoothed: 0.7825 | AUC: 0.6292
Epoch 25 | Loss: 0.5593 | NDCG: 0.7828 | smoothed: 0.7826 | AUC: 0.6307
Epoch 26 | Loss: 0.5595 | NDCG: 0.7828 | smoothed: 0.7825 | AUC: 0.6300
Epoch 27 | Loss: 0.5591 | NDCG: 0.7859 | smoothed: 0.7838 | AUC: 0.6366
Epoch 28 | Loss: 0.5582 | NDCG: 0.7824 | smoothed: 0.7837 | AUC: 0.6295
Epoch 29 | Loss: 0.5572 | NDCG: 0.7840 | smoothed: 0.7841 | AUC: 0.6322
Epoch 30 | Loss: 0.5578 | NDCG: 0.7839 | smoothed: 0.7834 | AUC: 0.6331
Epoch 31 | Loss: 0.5575 | NDCG: 0.7835 | smoothed: 0.7838 | AUC: 0.6317
Epoch 32 | Loss: 0.5565 | NDCG: 0.7854 | smoothed: 0.7843 | AUC: 0.6339
Epoch 33 | Loss: 0.5577 | NDCG: 0.7871 | smoothed: 0.7853 | AUC: 0.6369
Epoch 34 | Loss: 0.5566 | NDCG: 0.7831 | smoothed: 0.7852 | AUC: 0.6321
Epoch 35 | Loss: 0.5571 | NDCG: 0.7841 | smoothed: 0.7848 | AUC: 0.6311
Epoch 36 | Loss: 0.5566 | NDCG: 0.7833 | smoothed: 0.7835 | AUC: 0.6334
Epoch 37 | Loss: 0.5555 | NDCG: 0.7855 | smoothed: 0.7843 | AUC: 0.6332
Epoch 38 | Loss: 0.5563 | NDCG: 0.7879 | smoothed: 0.7856 | AUC: 0.6374
Epoch 39 | Loss: 0.5552 | NDCG: 0.7853 | smoothed: 0.7862 | AUC: 0.6359
Epoch 40 | Loss: 0.5553 | NDCG: 0.7844 | smoothed: 0.7859 | AUC: 0.6326
Epoch 41 | Loss: 0.5548 | NDCG: 0.7856 | smoothed: 0.7851 | AUC: 0.6341
Epoch 42 | Loss: 0.5553 | NDCG: 0.7867 | smoothed: 0.7856 | AUC: 0.6369
Epoch 43 | Loss: 0.5542 | NDCG: 0.7837 | smoothed: 0.7853 | AUC: 0.6315
Epoch 44 | Loss: 0.5554 | NDCG: 0.7859 | smoothed: 0.7854 | AUC: 0.6356
Early stopping at epoch 44
Run 2: NDCG 0.7862 | AUC 0.6359 | best epoch 39 of 44

=== Run 3/5 (seed 2) ===

Epoch 1 | Loss: 0.5879 | NDCG: 0.7663 | smoothed: 0.7663 | AUC: 0.6087
Epoch 2 | Loss: 0.5772 | NDCG: 0.7652 | smoothed: 0.7657 | AUC: 0.6090
Epoch 3 | Loss: 0.5748 | NDCG: 0.7687 | smoothed: 0.7667 | AUC: 0.6150
Epoch 4 | Loss: 0.5735 | NDCG: 0.7677 | smoothed: 0.7672 | AUC: 0.6135
Epoch 5 | Loss: 0.5705 | NDCG: 0.7740 | smoothed: 0.7701 | AUC: 0.6188
Epoch 6 | Loss: 0.5700 | NDCG: 0.7715 | smoothed: 0.7711 | AUC: 0.6162
Epoch 7 | Loss: 0.5682 | NDCG: 0.7713 | smoothed: 0.7723 | AUC: 0.6152
Epoch 8 | Loss: 0.5679 | NDCG: 0.7762 | smoothed: 0.7730 | AUC: 0.6228
Epoch 9 | Loss: 0.5673 | NDCG: 0.7736 | smoothed: 0.7737 | AUC: 0.6209
Epoch 10 | Loss: 0.5659 | NDCG: 0.7771 | smoothed: 0.7756 | AUC: 0.6239
Epoch 11 | Loss: 0.5658 | NDCG: 0.7736 | smoothed: 0.7748 | AUC: 0.6174
Epoch 12 | Loss: 0.5655 | NDCG: 0.7749 | smoothed: 0.7752 | AUC: 0.6219
Epoch 13 | Loss: 0.5652 | NDCG: 0.7766 | smoothed: 0.7751 | AUC: 0.6230
Epoch 14 | Loss: 0.5643 | NDCG: 0.7775 | smoothed: 0.7764 | AUC: 0.6238
Epoch 15 | Loss: 0.5632 | NDCG: 0.7794 | smoothed: 0.7779 | AUC: 0.6260
Epoch 16 | Loss: 0.5625 | NDCG: 0.7825 | smoothed: 0.7798 | AUC: 0.6331
Epoch 17 | Loss: 0.5625 | NDCG: 0.7806 | smoothed: 0.7808 | AUC: 0.6291
Epoch 18 | Loss: 0.5622 | NDCG: 0.7778 | smoothed: 0.7803 | AUC: 0.6235
Epoch 19 | Loss: 0.5620 | NDCG: 0.7805 | smoothed: 0.7797 | AUC: 0.6308
Epoch 20 | Loss: 0.5607 | NDCG: 0.7806 | smoothed: 0.7796 | AUC: 0.6286
Epoch 21 | Loss: 0.5614 | NDCG: 0.7810 | smoothed: 0.7807 | AUC: 0.6302
Epoch 22 | Loss: 0.5605 | NDCG: 0.7797 | smoothed: 0.7804 | AUC: 0.6290
Early stopping at epoch 22
Run 3: NDCG 0.7808 | AUC 0.6291 | best epoch 17 of 22

=== Run 4/5 (seed 3) ===

Epoch 1 | Loss: 0.5863 | NDCG: 0.7652 | smoothed: 0.7652 | AUC: 0.6098
Epoch 2 | Loss: 0.5772 | NDCG: 0.7654 | smoothed: 0.7653 | AUC: 0.6044
Epoch 3 | Loss: 0.5749 | NDCG: 0.7739 | smoothed: 0.7682 | AUC: 0.6189
Epoch 4 | Loss: 0.5728 | NDCG: 0.7709 | smoothed: 0.7701 | AUC: 0.6129
Epoch 5 | Loss: 0.5709 | NDCG: 0.7721 | smoothed: 0.7723 | AUC: 0.6197
